,M0,T/m
2.3400000000000007,2.3400000000000007,817.5201699820385
2.3500000000000005,2.3500000000000005,817.5186529431064
2.3600000000000008,2.3600000000000008,817.4957489337858
2.370000000000001,2.370000000000001,817.4516014283761
2.380000000000001,2.380000000000001,817.3863532317574
2.3900000000000006,2.3900000000000006,817.3001464726582
2.400000000000001,2.400000000000001,817.1931225972427
2.410000000000001,2.410000000000001,817.0654223630057
2.420000000000001,2.420000000000001,816.9171858329703
2.4300000000000006,2.4300000000000006,816.7485523701719
2.440000000000001,2.440000000000001,816.5596606324387
2.450000000000001,2.450000000000001,816.3506485674487
2.460000000000001,2.460000000000001,816.12165340806
2.4700000000000006,2.4700000000000006,815.8728116679118
2.480000000000001,2.480000000000001,815.6042591372874
2.490000000000001,2.490000000000001,815.3161308792291
2.500000000000001,2.500000000000001,815.008561225906
2.5100000000000007,2.5100000000000007,814.6816837752248
2.520000000000001,2.520000000000001,814.3356313876769
2.530000000000001,2.530000000000001,813.9705361834206
2.540000000000001,2.540000000000001,813.5865295395822
2.5500000000000007,2.5500000000000007,813.1837420877864
2.560000000000001,2.560000000000001,812.7623037118976
2.570000000000001,2.570000000000001,812.3223435459677
2.580000000000001,2.580000000000001,811.8639899723945
2.5900000000000007,2.5900000000000007,811.3873706202739
2.600000000000001,2.600000000000001,810.8926123639468
2.610000000000001,2.610000000000001,810.3798413217385
2.620000000000001,2.620000000000001,809.8491828548762
2.630000000000001,2.630000000000001,809.3007615665886
2.640000000000001,2.640000000000001,808.7347013013797
2.6500000000000012,2.6500000000000012,808.1511251444704
2.660000000000001,2.660000000000001,807.5501554214065
2.670000000000001,2.670000000000001,806.9319136978245
2.680000000000001,2.680000000000001,806.2965207793751
2.6900000000000013,2.6900000000000013,805.6440967117979
2.700000000000001,2.700000000000001,804.9747607811404
2.710000000000001,2.710000000000001,804.288631514125
2.720000000000001,2.720000000000001,803.5858266786486
2.7300000000000013,2.7300000000000013,802.8664632844218
2.740000000000001,2.740000000000001,802.1306575837356
2.750000000000001,2.750000000000001,801.3785250723565
2.760000000000001,2.760000000000001,800.6101804905423
2.7700000000000014,2.7700000000000014,799.8257378241827
2.780000000000001,2.780000000000001,799.0253103060458
2.790000000000001,2.790000000000001,798.209010417147
2.800000000000001,2.800000000000001,797.37694988822
2.8100000000000014,2.8100000000000014,796.5292397012935
2.820000000000001,2.820000000000001,795.6659900913702
2.830000000000001,2.830000000000001,794.7873105482075
2.840000000000001,2.840000000000001,793.8933098181855
2.8500000000000014,2.8500000000000014,792.9840959062743
2.860000000000001,2.860000000000001,792.0597760780869
2.870000000000001,2.870000000000001,791.1204568620193
2.8800000000000012,2.8800000000000012,790.1662440514702
2.8900000000000015,2.8900000000000015,789.1972427071446
2.9000000000000012,2.9000000000000012,788.2135571594353
2.910000000000001,2.910000000000001,787.2152910108712
2.9200000000000013,2.9200000000000013,786.2025471386474
2.9300000000000015,2.9300000000000015,785.1754276972175
2.9400000000000013,2.9400000000000013,784.1340341209553
2.950000000000001,2.950000000000001,783.0784671268785
2.9600000000000013,2.9600000000000013,782.0088267174357
2.9700000000000015,2.9700000000000015,780.9252121833515
2.9800000000000013,2.9800000000000013,779.8277221065294
2.990000000000001,2.990000000000001,778.716454363007
3.0000000000000013,3.0000000000000013,777.5915061259652
3.0100000000000016,3.0100000000000016,776.4529738687868
3.0200000000000014,3.0200000000000014,775.3009533681644
3.030000000000001,3.030000000000001,774.1355397072498
3.0400000000000014,3.0400000000000014,772.9568272788531
3.0500000000000016,3.0500000000000016,771.7649097886775
3.0600000000000014,3.0600000000000014,770.5598802586002
3.070000000000001,3.070000000000001,769.3418310299851
3.0800000000000014,3.0800000000000014,768.1108537670368
3.0900000000000016,3.0900000000000016,766.8670394601838
3.1000000000000014,3.1000000000000014,765.6104784294994
3.110000000000001,3.110000000000001,764.3412603281504
3.1200000000000014,3.1200000000000014,763.059474145875
3.1300000000000017,3.1300000000000017,761.765208212488
3.1400000000000015,3.1400000000000015,760.4585502014165
3.1500000000000012,3.1500000000000012,759.1395871332516
3.1600000000000015,3.1600000000000015,757.8084053793318
3.1700000000000017,3.1700000000000017,756.4650906653418
3.1800000000000015,3.1800000000000015,755.1097280749325
3.1900000000000013,3.1900000000000013,753.7424020533646
3.2000000000000015,3.2000000000000015,752.3631964111612
3.2100000000000017,3.2100000000000017,750.9721943277833
3.2200000000000015,3.2200000000000015,749.5694783553188
3.2300000000000013,3.2300000000000013,748.1551304221804
3.2400000000000015,3.2400000000000015,746.7292318368217
3.2500000000000018,3.2500000000000018,745.2918632914623
3.2600000000000016,3.2600000000000016,743.843104865821
3.2700000000000014,3.2700000000000014,742.3830360308621
3.2800000000000016,3.2800000000000016,740.9117356525444
3.290000000000002,3.290000000000002,739.4292819955815
3.3000000000000016,3.3000000000000016,737.9357527272061
3.3100000000000014,3.3100000000000014,736.4312249209378
3.3200000000000016,3.3200000000000016,734.9157750603574
3.330000000000002,3.330000000000002,733.3894790428823
3.3400000000000016,3.3400000000000016,731.8524121835442
3.3500000000000014,3.3500000000000014,730.3046492187691
3.3600000000000017,3.3600000000000017,728.7462643101557
3.370000000000002,3.370000000000002,727.1773310482546
3.3800000000000017,3.3800000000000017,725.5979224563479
3.3900000000000015,3.3900000000000015,724.0081109942201
3.4000000000000017,3.4000000000000017,722.4079685619365
3.410000000000002,3.410000000000002,720.7975665036095
3.4200000000000017,3.4200000000000017,719.1769756111628
3.4300000000000015,3.4300000000000015,717.5462661280939
3.4400000000000017,3.4400000000000017,715.9055077532271
3.450000000000002,3.450000000000002,714.2547696444637
3.4600000000000017,3.4600000000000017,712.5941204225198
3.4700000000000015,3.4700000000000015,710.9236281746654
3.4800000000000018,3.4800000000000018,709.243360458447
3.490000000000002,3.490000000000002,707.5533843054072
3.5000000000000018,3.5000000000000018,705.8537662247932
3.5100000000000016,3.5100000000000016,704.1445722072546
3.520000000000002,3.520000000000002,702.4258677285337
3.530000000000002,3.530000000000002,700.6977177531452
3.540000000000002,3.540000000000002,698.9601867380396
3.5500000000000016,3.5500000000000016,697.2133386362647
3.560000000000002,3.560000000000002,695.4572369006064
3.570000000000002,3.570000000000002,693.6919444872186
3.580000000000002,3.580000000000002,691.9175238592503
3.5900000000000016,3.5900000000000016,690.1340369904427
3.600000000000002,3.600000000000002,688.3415453687267
3.610000000000002,3.610000000000002,686.5401099998023
3.620000000000002,3.620000000000002,684.7297914107016
3.6300000000000017,3.6300000000000017,682.9106496533398
3.640000000000002,3.640000000000002,681.0827443080501
3.650000000000002,3.650000000000002,679.2461344871066
3.660000000000002,3.660000000000002,677.4008788382279
3.6700000000000017,3.6700000000000017,675.547035548066
3.680000000000002,3.680000000000002,673.6846623456819
3.690000000000002,3.690000000000002,671.8138165060018
3.700000000000002,3.700000000000002,669.9345548532598
3.7100000000000017,3.7100000000000017,668.0469337644206
3.720000000000002,3.720000000000002,666.1510091725904
3.730000000000002,3.730000000000002,664.2468365704041
3.740000000000002,3.740000000000002,662.334471013402
3.7500000000000018,3.7500000000000018,660.4139671233866
3.760000000000002,3.760000000000002,658.485379091757
3.7700000000000022,3.7700000000000022,656.5487606828351
3.780000000000002,3.780000000000002,654.6041652371667
3.790000000000002,3.790000000000002,652.6516456748045
3.800000000000002,3.800000000000002,650.6912544985789
3.8100000000000023,3.8100000000000023,648.7230437973454
3.820000000000002,3.820000000000002,646.747065249213
3.830000000000002,3.830000000000002,644.7633701247589
3.840000000000002,3.840000000000002,642.7720092902192
3.8500000000000023,3.8500000000000023,640.7730332106645
3.860000000000002,3.860000000000002,638.7664919531564
3.870000000000002,3.870000000000002,636.7524351898817
3.880000000000002,3.880000000000002,634.7309122012718
3.8900000000000023,3.8900000000000023,632.7019718791021
3.900000000000002,3.900000000000002,630.6656627295697
3.910000000000002,3.910000000000002,628.622032876355
3.920000000000002,3.920000000000002,626.5711300636619
3.9300000000000024,3.9300000000000024,624.5130016592399
3.940000000000002,3.940000000000002,622.4476946573892
3.950000000000002,3.950000000000002,620.3752556819395
3.960000000000002,3.960000000000002,618.2957309892164
3.9700000000000024,3.9700000000000024,616.2091664709868
3.980000000000002,3.980000000000002,614.1156076573814
3.990000000000002,3.990000000000002,612.0150997198028
4.000000000000002,4.000000000000002,609.9076874738107
