,M0,T/m
2.860000000000001,2.860000000000001,893.1575596246108
2.870000000000001,2.870000000000001,892.1687152079243
2.8800000000000012,2.8800000000000012,891.1629896480201
2.8900000000000015,2.8900000000000015,890.1404965291251
2.9000000000000012,2.9000000000000012,889.1013486476095
2.910000000000001,2.910000000000001,888.0456580145911
2.9200000000000013,2.9200000000000013,886.9735358586262
2.9300000000000015,2.9300000000000015,885.8850926284654
2.9400000000000013,2.9400000000000013,884.7804379958906
2.950000000000001,2.950000000000001,883.6596808586182
2.9600000000000013,2.9600000000000013,882.5229293432718
2.9700000000000015,2.9700000000000015,881.3702908084159
2.9800000000000013,2.9800000000000013,880.2018718476571
2.990000000000001,2.990000000000001,879.0177782928005
3.0000000000000013,3.0000000000000013,877.8181152170649
3.0100000000000016,3.0100000000000016,876.6029869383533
3.0200000000000014,3.0200000000000014,875.372497022576
3.030000000000001,3.030000000000001,874.1267482870234
3.0400000000000014,3.0400000000000014,872.8658428037861
3.0500000000000016,3.0500000000000016,871.5898819032225
3.0600000000000014,3.0600000000000014,870.2989661774699
3.070000000000001,3.070000000000001,868.9931954839959
3.0800000000000014,3.0800000000000014,867.6726689491918
3.0900000000000016,3.0900000000000016,866.3374849720001
3.1000000000000014,3.1000000000000014,864.9877412275838
3.110000000000001,3.110000000000001,863.6235346710233
3.1200000000000014,3.1200000000000014,862.2449615410491
3.1300000000000017,3.1300000000000017,860.8521173638037
3.1400000000000015,3.1400000000000015,859.445096956635
3.1500000000000012,3.1500000000000012,858.0239944319118
3.1600000000000015,3.1600000000000015,856.5889032008683
3.1700000000000017,3.1700000000000017,855.1399159774716
3.1800000000000015,3.1800000000000015,853.6771247823106
3.1900000000000013,3.1900000000000013,852.2006209465089
3.2000000000000015,3.2000000000000015,850.7104951156504
3.2100000000000017,3.2100000000000017,849.2068372537309
3.2200000000000015,3.2200000000000015,847.6897366471208
3.2300000000000013,3.2300000000000013,846.1592819085427
3.2400000000000015,3.2400000000000015,844.6155609810664
